date,chg_ted,chg_usd,chg_ffr,chg_cpi,target
2/1/1986,-0.13,-1.2149,-0.28,0.4,1
3/1/1986,0.05,-4.4735,-0.38,-0.2,1
4/1/1986,-0.12,-2.4337,-0.49,-0.6,0
5/1/1986,-0.04,-1.0595,-0.14,-0.4,1
6/1/1986,0.02,-2.6492,0.07,0.3,1
7/1/1986,-0.03,0.7314,-0.36,0.4,0
8/1/1986,-0.17,-2.9437,-0.39,0.1,1
9/1/1986,0.14,-1.8298,-0.28,0.1,0
10/1/1986,0.02,-0.0981,-0.04,0.4,1
11/1/1986,-0.09,0.0708,0.19,0.2,1
12/1/1986,0.13,1.5943,0.87,0.2,0
1/1/1987,-0.07,-0.9972,-0.48,0.4,1
2/1/1987,0.06,-4.2562,-0.33,0.6,1
3/1/1987,0.05,-1.5483,0.03,0.4,1
4/1/1987,0.33,-0.9886,0.24,0.4,0
5/1/1987,0.48,-2.4357,0.48,0.5,1
6/1/1987,-0.14,-0.6624,-0.12,0.3,1
7/1/1987,-0.27,1.5398,-0.15,0.5,1
8/1/1987,-0.29,1.5406,0.15,0.3,1
9/1/1987,0.23,-0.3866,0.49,0.5,0
10/1/1987,1.02,-2.0756,0.07,0.4,0
11/1/1987,-0.42,-0.3862,-0.6,0.3,0
12/1/1987,0.37,-3.9302,0.08,0.4,1
1/1/1988,-0.79,-2.8337,0.06,0.2,1
2/1/1988,-0.24,-0.0605,-0.25,0.4,1
3/1/1988,-0.03,0.9542,0,0.2,0
4/1/1988,0.14,-1.4977,0.29,0.3,1
5/1/1988,-0.04,-1.0797,0.22,0.7,0
6/1/1988,0.03,0.3431,0.42,0.3,1
7/1/1988,0.21,1.6384,0.24,0.5,0
8/1/1988,0.05,2.8066,0.26,0.5,0
9/1/1988,-0.36,1.2272,0.18,0.5,1
10/1/1988,0.1,0.0303,0.11,0.5,1
11/1/1988,-0.03,-2.747,0.05,0.4,0
12/1/1988,0.1,-2.4921,0.41,0.4,1
1/1/1989,-0.21,-0.3622,0.36,0.4,1
2/1/1989,0.06,2.1109,0.24,0.5,0
3/1/1989,0.3,0.4215,0.49,0.4,1
4/1/1989,0.02,1.3257,-0.01,0.6,1
5/1/1989,-0.18,0.3107,-0.03,0.9,1
6/1/1989,-0.09,2.957,-0.28,0.6,0
7/1/1989,-0.17,2.3552,-0.29,0.4,1
8/1/1989,-0.15,-2.8081,-0.25,0.4,1
9/1/1989,0.29,0.6406,0.03,0,0
10/1/1989,-0.07,1.3565,-0.18,0.3,0
11/1/1989,-0.28,-2.0048,-0.29,0.6,1
12/1/1989,0.02,-0.3213,-0.1,0.5,1
1/1/1990,-0.18,-1.6712,-0.22,0.4,0
2/1/1990,-0.09,-0.7048,0.01,1.2,1
3/1/1990,-0.03,0.0421,0.04,0.5,1
4/1/1990,0.2,1.8637,-0.02,0.6,0
5/1/1990,-0.05,-0.0047,-0.08,0.3,1
6/1/1990,-0.12,-1.2904,0.11,0.2,0
7/1/1990,-0.02,-0.0122,-0.14,0.8,0
8/1/1990,0.05,-2.5374,-0.02,0.6,0
9/1/1990,0.19,-2.2905,0.07,1.1,0
10/1/1990,0.16,-1.1564,-0.09,0.9,0
11/1/1990,0.11,-2.602,-0.3,0.9,1
12/1/1990,0.06,-0.6465,-0.5,0.3,1
1/1/1991,-0.05,1.3255,-0.4,0.5,1
2/1/1991,-0.35,-0.0854,-0.66,0.5,1
3/1/1991,-0.11,-1.2395,-0.13,0.1,1
4/1/1991,-0.08,4.4028,-0.21,0,0
5/1/1991,0.02,1.6939,-0.13,0.3,1
6/1/1991,0.03,0.6128,0.12,0.5,0
7/1/1991,-0.07,1.8031,-0.08,0.4,1
8/1/1991,-0.12,-0.198,-0.16,0.2,1
9/1/1991,-0.04,-1.1821,-0.21,0.4,0
10/1/1991,0.08,-1.7592,-0.24,0.4,1
11/1/1991,0.04,-0.8826,-0.4,0.2,0
12/1/1991,0,-1.5638,-0.38,0.6,1
1/1/1992,-0.14,-1.1887,-0.4,0.4,0
2/1/1992,-0.05,0.0949,0.03,0.1,1
3/1/1992,0.02,1.7658,-0.08,0.3,0
4/1/1992,0.07,2.238,-0.25,0.5,1
5/1/1992,-0.09,-0.357,0.09,0.3,0
6/1/1992,0.01,-1.098,-0.06,0.3,0
7/1/1992,-0.03,-1.9392,-0.51,0.4,1
8/1/1992,0.02,-2.0134,0.05,0.4,0
9/1/1992,0.05,-0.7939,-0.08,0.3,1
10/1/1992,0.2,0.701,-0.12,0.3,0
11/1/1992,0.08,2.1107,-0.01,0.6,1
12/1/1992,-0.24,3.7049,-0.17,0.4,1
1/1/1993,-0.07,0.2678,0.1,0.2,1
2/1/1993,-0.04,1.3089,0.01,0.5,1
3/1/1993,-0.02,-0.0165,0.04,0.3,1
4/1/1993,0.07,-1.0471,-0.11,0.2,0
5/1/1993,-0.08,-2.1792,0.04,0.5,1
6/1/1993,-0.01,-0.3287,0.04,0.4,0
7/1/1993,-0.01,0.531,0.02,0.1,0
8/1/1993,-0.02,1.4563,-0.03,0.2,1
9/1/1993,0.03,-0.4144,0.06,0.3,0
10/1/1993,0.1,-0.5295,-0.1,0.2,1
11/1/1993,0.01,0.9169,0.03,0.6,0
12/1/1993,-0.06,1.1003,-0.06,0.4,1
