trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.04612348257001,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-89.18856841024905,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,9,-49.22310126566237,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,14,-93.02022403845051,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-62.60391726605144,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-97.28657831911988,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-42.60795422551548,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-160.05634195211744,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,8.091149414233584,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-101.01151030555506,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-75.91149042365178,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-57.38914356726985,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-117.68906252281111,"{0: 11, 1: 2, 2: 2, 3: 5, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-60.41771539728616,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-6.743014733761106,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-43.42063155221101,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-30.098014925870793,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,27.396667353487896,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-108.96994378891436,"{0: 29, 1: 0, 2: 0, 3: 5, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-59.30054052904189,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-40.94657193826363,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,2.8215485595619043,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-22.582720480250526,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-53.570339640067054,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,3.7216677983937085,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-44.25605969901527,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-40.733706913650714,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,1.176700520315341,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,6.3061027628787,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-66.32648845187694,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
