trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.98}",35,0,-218.87082341870646,"{0: 13, 1: 10, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9603999999999999}",20,8,-67.390752981959,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.9411919999999999}",25,0,-54.78625398885787,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.9223681599999999}",20,0,-58.245005853200276,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9039207967999998}",25,0,-165.72692425682962,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.8858423808639998}",30,0,-111.1795893016644,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.8681255332467198}",20,4,-52.81861529693189,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.8507630225817854}",20,0,-15.70576386778528,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.8337477621301497}",35,16,-63.811220333150054,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.1, 'e': 0.8170728068875467}",30,0,-156.63807633747723,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8007313507497957}",20,0,-41.54882817937092,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.7847167237347998}",25,0,-106.4907375108071,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.7690223892601038}",30,5,-42.473835761065814,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.7536419414749017}",30,0,-92.67757218372003,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.7385691026454037}",20,9,17.882594469142287,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.7237977205924956}",30,0,-123.13687403319194,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.7093217661806457}",20,0,-14.909741026111183,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.6951353308570327}",30,0,-108.61937580652514,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.6812326242398921}",25,0,-54.47711834609237,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.6676079717550942}",20,0,-65.43018906933355,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.6542558123199923}",30,0,-77.49552302897546,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.6411706960735924}",25,0,-52.63292166321158,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.6283472821521205}",20,3,-76.5986839854114,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.1, 'e': 0.6157803365090782}",25,11,-51.583122258919936,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.6034647297788965}",20,0,18.810214856792054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.5913954351833186}",30,0,-133.19896299922254,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
27,False,"{'a': 0.1, 'e': 0.5795675264796523}",30,0,-71.43458806817667,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.5679761759500592}",20,0,-93.91367016065968,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.5566166524310581}",25,12,0.07204462700682024,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.5454843193824369}",30,0,-43.95671762561287,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.5345746329947881}",20,0,-18.0264107591151,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.5238831403348924}",30,0,-26.82386198730569,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.5134054775281945}",20,0,-15.99468512113308,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.5031373679776306}",25,0,-79.5948281853295,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.493074620618078}",30,0,-84.05050336521596,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.48321312820571644}",25,5,-8.420989212848486,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
