trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.10396744432401,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-244.2229007870435,"{0: 14, 1: 0, 2: 12, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.5841762946106,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.62375630347174,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.5943969233804,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-349.41837940890076,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 7}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-269.9045262977641,"{0: 8, 1: 0, 2: 4, 3: 4, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-286.71957430199853,"{0: 8, 1: 8, 2: 3, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.49488135639704,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.878368794090285,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.7638973312568,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,9,-39.871521493793544,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,6,-169.1379988065437,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.89283759039958,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.49059388191537,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.94208868259177,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.3108990109299,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,17,-15.910254468647622,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.505782522876,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,3,-163.04903219010131,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 3}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.07862421756076,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-68.10989555406519,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,2,-67.25169059191805,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.29800490178246,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.13043696747492,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,9,-83.34390609031351,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.33320663120631,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.40614221774361,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.04957936601726,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.89842626745573,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
